Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,26.740000,26.770000,26.230000,26.639999,25.108030,167400
2007-03-02,26.410000,26.780001,26.389999,26.389999,24.872408,121900
2007-03-05,25.840000,26.340000,25.700001,26.340000,24.825283,253700
2007-03-06,26.500000,26.530001,26.160000,26.200001,24.693333,127400
2007-03-07,26.250000,26.570000,26.150000,26.440001,24.919533,175400
2007-03-08,26.540001,26.650000,26.320000,26.420000,24.900682,109600
2007-03-09,26.440001,26.490000,26.080000,26.309999,24.797007,97000
2007-03-12,26.340000,26.340000,26.000000,26.129999,24.627357,91700
2007-03-13,26.180000,26.250000,25.870001,25.889999,24.401161,111900
2007-03-14,25.700001,25.980000,25.530001,25.980000,24.485985,172900
2007-03-15,25.969999,26.049999,25.580000,25.600000,24.127836,131400
2007-03-16,25.530001,26.090000,25.500000,25.920000,24.429436,83000
2007-03-19,25.879999,26.120001,25.700001,25.990000,24.495411,96500
2007-03-20,25.900000,26.200001,25.879999,26.180000,24.674484,95100
2007-03-21,26.290001,26.340000,26.160000,26.320000,24.806431,148100
2007-03-22,26.209999,26.389999,26.139999,26.350000,24.834709,103400
2007-03-23,26.389999,26.430000,26.170000,26.280001,24.768734,99700
2007-03-26,26.010000,26.150000,25.639999,25.799999,24.316336,194700
2007-03-27,25.889999,25.950001,25.780001,25.920000,24.429436,96200
2007-03-28,26.040001,26.110001,25.799999,26.070000,24.570812,149600
2007-03-29,26.040001,26.139999,25.760000,26.090000,24.589661,214600
2007-03-30,26.030001,26.080000,24.900000,25.190001,23.741415,692200
2007-04-02,24.879999,25.219999,24.530001,25.070000,23.628317,291800
2007-04-03,25.170000,25.219999,24.719999,24.879999,23.449242,506800
2007-04-04,25.049999,25.299999,24.870001,25.180000,23.731991,270800
2007-04-05,25.200001,25.540001,25.120001,25.430000,23.967613,171800
2007-04-09,26.010000,26.100000,25.350000,25.459999,23.995888,373300
2007-04-10,25.510000,25.709999,25.270000,25.549999,24.080709,211000
2007-04-11,25.780001,25.790001,25.400000,25.570000,24.099564,153500
2007-04-12,25.490000,25.549999,25.100000,25.490000,24.024162,226700
2007-04-13,25.549999,25.969999,25.490000,25.820000,24.335186,208000
2007-04-16,25.709999,25.850000,25.500000,25.610001,24.137264,221800
2007-04-17,25.650000,25.809999,25.240000,25.270000,23.816814,169600
2007-04-18,25.340000,25.340000,25.030001,25.120001,23.675442,178100
2007-04-19,25.100000,25.430000,25.100000,25.430000,23.967613,123400
2007-04-20,25.420000,25.500000,25.200001,25.500000,24.033588,107000
2007-04-23,25.250000,25.290001,24.959999,25.000000,23.562342,323000
2007-04-24,24.870001,25.030001,24.830000,24.950001,23.515217,130800
2007-04-25,25.080000,25.959999,25.000000,25.549999,24.080709,203100
2007-04-26,25.850000,25.900000,25.320000,25.440001,23.977039,185600
2007-04-27,25.370001,25.370001,25.000000,25.110001,23.666016,326800
2007-04-30,24.920000,25.190001,24.820000,24.850000,23.420967,281700
2007-05-01,24.940001,25.370001,24.700001,25.260000,23.807392,151600
2007-05-02,25.400000,25.420000,25.059999,25.120001,23.675442,266300
2007-05-03,25.150000,25.660000,25.150000,25.440001,23.977039,2224700
2007-05-04,25.500000,25.610001,25.299999,25.610001,24.137264,402000
2007-05-07,25.660000,25.680000,25.150000,25.320000,23.863937,160700
2007-05-08,24.940001,25.040001,24.780001,24.830000,23.402117,334500
2007-05-09,24.780001,24.959999,24.780001,24.900000,23.468094,310300
2007-05-10,24.799999,25.000000,24.600000,24.719999,23.298441,163100
2007-05-11,24.620001,25.400000,24.620001,25.330000,23.873365,281300
2007-05-14,25.469999,25.510000,25.260000,25.260000,23.807392,170200
2007-05-15,25.000000,25.420000,24.879999,25.340000,23.882790,313300
2007-05-16,25.370001,25.559999,25.240000,25.299999,23.845089,190400
2007-05-17,25.299999,25.410000,25.110001,25.129999,23.684864,255000
2007-05-18,25.160000,25.250000,24.809999,24.879999,23.449242,144200
2007-05-21,25.049999,25.400000,25.010000,25.340000,23.882790,289700
2007-05-22,25.100000,25.299999,24.900000,24.990000,23.552916,164200
2007-05-23,25.250000,25.250000,25.040001,25.100000,23.656591,110400
2007-05-24,25.309999,25.559999,25.180000,25.549999,24.080709,178200
2007-05-25,25.790001,26.120001,25.700001,26.000000,24.504833,208000
2007-05-29,25.830000,25.889999,25.500000,25.580000,24.108988,158800
2007-05-30,25.690001,26.240000,25.510000,26.230000,24.721609,235400
2007-05-31,26.360001,26.500000,26.000000,26.350000,24.834709,278900
2007-06-01,26.260000,26.620001,26.110001,26.389999,24.872408,290800
2007-06-04,26.389999,26.490000,26.120001,26.230000,24.721609,193800
2007-06-05,26.299999,26.520000,26.139999,26.309999,24.797007,154900
2007-06-06,26.410000,26.410000,25.959999,26.110001,24.608511,131700
2007-06-07,26.070000,26.570000,25.969999,26.559999,25.032631,163900
2007-06-08,26.370001,26.500000,26.030001,26.430000,24.910109,84700
2007-06-11,26.580000,27.150000,26.520000,26.860001,25.315378,265500
2007-06-12,26.910000,27.100000,26.719999,26.969999,25.419052,277000
2007-06-13,26.730000,27.299999,26.610001,27.280001,25.711229,394200
2007-06-14,27.299999,27.620001,27.150000,27.500000,25.918573,446300
2007-06-15,27.459999,27.870001,27.430000,27.870001,26.267298,473800
2007-06-18,27.950001,28.350000,27.610001,28.150000,26.531195,548800
2007-06-19,28.100000,28.100000,27.049999,27.120001,25.560429,836900
2007-06-20,27.100000,27.740000,27.000000,27.230000,25.664103,738600
2007-06-21,27.580000,27.850000,27.040001,27.170000,25.607552,352900
2007-06-22,27.150000,27.260000,26.340000,26.690001,25.155153,535100
2007-06-25,26.700001,26.700001,26.200001,26.299999,24.787582,258000
2007-06-26,26.459999,26.809999,26.420000,26.670000,25.136305,308400
2007-06-27,26.650000,26.709999,25.969999,26.240000,24.731031,303400
2007-06-28,26.700001,26.700001,26.200001,26.309999,24.797007,466100
2007-06-29,26.900000,27.100000,26.200001,26.400000,24.881832,496600
2007-07-02,26.809999,27.299999,25.850000,26.309999,24.797007,270000
2007-07-03,26.270000,26.389999,25.930000,25.969999,24.476561,213300
2007-07-05,26.340000,26.459999,26.180000,26.370001,24.853558,262600
2007-07-06,26.459999,26.730000,26.340000,26.709999,25.174006,343700
2007-07-09,26.500000,26.719999,26.400000,26.639999,25.108030,276700
2007-07-10,26.730000,27.240000,26.549999,27.160000,25.598127,425200
2007-07-11,27.090000,27.200001,27.000000,27.180000,25.616978,277900
2007-07-12,27.280001,27.540001,27.030001,27.450001,25.871450,278500
2007-07-13,27.600000,27.680000,27.330000,27.570000,25.984550,190900
2007-07-16,27.080000,27.209999,26.500000,26.639999,25.108030,532600
2007-07-17,26.700001,26.790001,25.959999,26.100000,24.599085,510600
2007-07-18,26.350000,26.570000,26.270000,26.570000,25.042055,197000
2007-07-19,26.690001,26.730000,26.270000,26.450001,24.928959,307500
2007-07-20,26.540001,26.730000,26.260000,26.379999,24.862980,229100
2007-07-23,26.230000,26.260000,25.580000,25.700001,24.222088,344100
2007-07-24,26.209999,26.209999,25.840000,25.930000,24.438860,382500
2007-07-25,26.250000,26.250000,25.900000,26.030001,24.533110,145700
2007-07-26,26.309999,26.430000,26.030001,26.120001,24.617933,241900
2007-07-27,26.350000,26.350000,25.910000,26.000000,24.504833,167600
2007-07-30,26.260000,26.299999,25.750000,25.830000,24.344612,261100
2007-07-31,26.260000,26.260000,26.000000,26.209999,24.702757,110600
2007-08-01,26.129999,26.260000,25.809999,25.910000,24.420012,91300
2007-08-02,26.290001,26.290001,26.040001,26.150000,24.646208,100500
2007-08-03,26.190001,26.290001,26.030001,26.030001,24.533110,167700
2007-08-06,25.860001,26.090000,25.610001,26.090000,24.589661,183200
2007-08-07,26.000000,26.299999,25.930000,26.250000,24.740459,88300
2007-08-08,26.299999,26.580000,26.299999,26.520000,24.994932,134300
2007-08-09,26.670000,26.750000,26.250000,26.299999,24.787582,88500
2007-08-10,26.170000,26.580000,25.879999,26.379999,24.862980,150400
2007-08-13,26.459999,26.559999,26.270000,26.430000,24.910109,196000
2007-08-14,26.690001,26.690001,26.219999,26.360001,24.844131,79000
2007-08-15,26.430000,26.510000,26.040001,26.129999,24.627357,264500
2007-08-16,25.809999,25.850000,24.580000,25.600000,24.127836,782800
2007-08-17,25.520000,25.990000,25.000000,25.780001,24.297487,422000
2007-08-20,25.850000,26.000000,25.639999,25.900000,24.410587,104600
2007-08-21,26.080000,26.320000,26.000000,26.059999,24.561384,173400
2007-08-22,26.430000,26.719999,26.290001,26.690001,25.155153,202800
2007-08-23,26.750000,27.120001,26.500000,26.600000,25.070330,133300
2007-08-24,26.730000,26.780001,26.500000,26.730000,25.192856,345100
2007-08-27,26.559999,26.730000,26.340000,26.610001,25.079756,140200
2007-08-28,26.730000,26.830000,26.400000,26.490000,24.966656,112100
2007-08-29,26.570000,26.620001,26.340000,26.540001,25.013783,118800
2007-08-30,26.870001,27.049999,26.670000,26.889999,25.343655,141200
2007-08-31,27.209999,27.260000,26.540001,26.639999,25.108030,189800
2007-09-04,26.969999,27.500000,26.969999,27.340000,25.767775,155300
2007-09-05,27.570000,27.650000,27.139999,27.320000,25.748926,162700
2007-09-06,27.090000,27.150000,26.750000,26.879999,25.334229,421200
2007-09-07,26.719999,27.070000,26.510000,27.000000,25.447329,170900
2007-09-10,27.170000,27.170000,26.690001,26.879999,25.334229,127900
2007-09-11,27.010000,27.049999,26.760000,26.990000,25.437904,178600
2007-09-12,27.240000,27.680000,27.000000,27.370001,25.796051,554200
2007-09-13,27.400000,27.490000,26.879999,27.160000,25.598127,789000
2007-09-14,27.150000,27.400000,26.959999,27.370001,25.796051,181800
2007-09-17,27.580000,27.750000,27.400000,27.570000,25.984550,131700
2007-09-18,27.750000,27.799999,27.330000,27.700001,26.107073,274900
2007-09-19,27.629999,27.980000,27.100000,27.900000,26.295572,399200
2007-09-20,28.080000,29.250000,28.070000,28.620001,26.974169,968900
2007-09-21,28.740000,28.820000,28.510000,28.770000,27.115543,577900
2007-09-24,28.969999,29.000000,28.620001,28.830000,27.172091,529500
2007-09-25,28.770000,28.870001,28.610001,28.760000,27.106117,251900
2007-09-26,28.700001,29.080000,28.700001,29.059999,27.388866,241900
2007-09-27,30.980000,31.160000,29.250000,29.950001,28.227686,466700
2007-09-28,29.980000,30.049999,29.290001,29.500000,27.803562,620300
2007-10-01,29.639999,29.639999,29.330000,29.350000,27.662188,329300
2007-10-02,29.230000,29.280001,28.200001,28.200001,26.578321,494000
2007-10-03,28.080000,28.370001,27.750000,28.370001,26.738548,724900
2007-10-04,28.530001,28.590000,28.160000,28.309999,26.681993,404300
2007-10-05,28.459999,28.469999,28.200001,28.420000,26.785669,148300
2007-10-08,28.219999,28.230000,27.610001,27.780001,26.182472,284100
2007-10-09,28.000000,28.410000,27.950001,28.200001,26.578321,436400
2007-10-10,28.480000,28.480000,28.080000,28.370001,26.738548,317100
2007-10-11,28.520000,28.660000,28.290001,28.600000,26.955318,294800
2007-10-12,28.889999,28.940001,28.559999,28.780001,27.124968,445900
2007-10-15,29.000000,29.129999,28.850000,29.040001,27.370016,288000
2007-10-16,29.110001,29.120001,28.750000,29.040001,27.370016,438200
2007-10-17,28.990000,29.120001,28.700001,28.930000,27.266342,540300
2007-10-18,29.139999,29.370001,28.959999,29.360001,27.671614,254200
2007-10-19,29.559999,29.600000,29.190001,29.580000,27.878963,370700
2007-10-22,29.000000,29.420000,28.850000,29.420000,27.728163,384500
2007-10-23,29.510000,29.580000,28.930000,28.990000,27.322889,291500
2007-10-24,28.860001,28.900000,28.559999,28.590000,26.945892,312400
2007-10-25,28.809999,29.150000,28.639999,29.100000,27.426567,428100
2007-10-26,29.469999,29.469999,29.280001,29.280001,27.596214,321800
2007-10-29,29.750000,29.809999,29.520000,29.809999,28.095734,356100
2007-10-30,29.490000,29.559999,29.100000,29.270000,27.586790,407500
2007-10-31,29.330000,29.610001,29.270000,29.270000,27.586790,491500
2007-11-01,29.750000,29.760000,28.870001,29.000000,27.332315,693300
2007-11-02,29.100000,29.490000,29.040001,29.490000,27.794136,288800
2007-11-05,28.940001,29.450001,28.940001,29.370001,27.681040,224900
2007-11-06,29.750000,30.500000,29.600000,30.290001,28.548134,712000
2007-11-07,31.000000,31.000000,29.700001,29.820000,28.105162,648100
2007-11-08,29.820000,30.030001,29.750000,29.950001,28.227686,523500
2007-11-09,29.950001,29.950001,29.459999,29.870001,28.152287,306900
2007-11-12,29.620001,29.740000,29.330000,29.379999,27.690464,404000
2007-11-13,29.750000,29.750000,29.350000,29.389999,27.699890,217500
2007-11-14,29.389999,29.910000,29.389999,29.910000,28.189987,218600
2007-11-15,29.950001,30.100000,29.459999,29.459999,27.765863,334900
2007-11-16,29.680000,29.950001,29.660000,29.760000,28.048611,191600
2007-11-19,30.020000,30.020000,29.700001,29.700001,27.992064,224000
2007-11-20,29.780001,30.100000,29.620001,30.090000,28.359632,163900
2007-11-21,30.080000,30.510000,30.000000,30.510000,28.755480,376800
2007-11-23,30.650000,30.770000,30.320000,30.740000,28.972256,288100
2007-11-26,31.020000,31.020000,30.270000,30.290001,28.548134,373100
2007-11-27,30.240000,30.629999,30.180000,30.580000,28.821455,265000
2007-11-28,30.639999,30.809999,30.260000,30.740000,28.972256,521700
2007-11-29,30.370001,31.030001,30.370001,30.790001,29.019381,411600
2007-11-30,30.780001,31.090000,30.410000,30.650000,28.887430,323800
2007-12-03,30.860001,30.980000,30.650000,30.860001,29.085356,318100
2007-12-04,30.980000,31.389999,30.850000,31.389999,29.584875,707800
2007-12-05,31.350000,31.480000,31.120001,31.350000,29.547176,777800
2007-12-06,31.240000,31.459999,31.190001,31.459999,29.650846,583700
2007-12-07,31.469999,32.080002,31.360001,32.070000,30.225771,553100
2007-12-10,32.500000,32.500000,31.950001,32.189999,30.338869,596800
2007-12-11,32.200001,32.349998,31.719999,32.180000,30.329447,526800
2007-12-12,32.180000,32.669998,32.060001,32.630001,30.753567,677100
2007-12-13,32.700001,32.700001,32.119999,32.279999,30.423693,647200
2007-12-14,32.270000,32.400002,31.980000,32.209999,30.357721,465800
2007-12-17,31.930000,32.200001,31.350000,31.700001,30.300369,580100
2007-12-18,31.709999,31.709999,31.490000,31.629999,30.233459,562400
2007-12-19,31.830000,32.189999,31.660000,32.189999,30.768732,704900
2007-12-20,32.320000,32.410000,32.130001,32.380001,30.950346,871200
2007-12-21,32.459999,32.869999,32.369999,32.799999,31.351803,892500
2007-12-24,33.189999,33.259998,32.820000,33.259998,31.791491,796800
2007-12-26,33.320000,33.540001,32.900002,33.540001,32.059132,740900
2007-12-27,33.529999,33.529999,33.000000,33.220001,31.753258,879200
2007-12-28,33.220001,33.340000,32.750000,32.990002,31.533413,475000
2007-12-31,32.799999,32.990002,32.610001,32.990002,31.533413,356500
2008-01-02,33.139999,33.590000,33.040001,33.430000,31.953985,1078600
2008-01-03,33.759998,34.220001,33.560001,34.220001,32.709103,2211200
2008-01-04,33.840000,34.660000,33.720001,34.580002,33.053211,2919700
2008-01-07,34.500000,34.500000,34.000000,34.119999,32.613522,1889500
2008-01-08,34.680000,34.950001,34.369999,34.500000,32.976738,2195000
2008-01-09,35.020000,35.020000,34.250000,34.360001,32.842926,2200300
2008-01-10,34.709999,34.709999,34.080002,34.500000,32.976738,1856200
2008-01-11,34.750000,36.669998,34.750000,36.450001,34.840645,3238600
2008-01-14,36.340000,36.840000,36.049999,36.389999,34.783291,3913400
2008-01-15,36.360001,36.849998,36.049999,36.580002,34.964905,1855200
2008-01-16,36.119999,36.450001,35.580002,36.430000,34.821529,2867500
2008-01-17,36.930000,37.570000,36.860001,37.500000,35.844288,3430200
2008-01-18,36.869999,37.180000,36.299999,36.580002,34.964905,2464500
