Start,End,Disaster Type,Category
2000-01-18,1/30/2000,Snowstorm,Category 3
2000-12-27,12/31/2000,Snowstorm,Category 2
2000-12-29,12/31/2000,Snowstorm,Category 2
2002-02-07,2/7/2002,Snowstorm,N/A
2002-12-04,12/5/2002,Snowstorm,N/A
2003-02-14,2/19/2003,Snowstorm,Category 4
2003-12-05,12/8/2003,Snowstorm,Category 3
2004-12-21,12/24/2004,Snowstorm,Category 4
2004-12-24,12/28/2004,Snowstorm,N/A
2005-01-20,1/23/2005,Snowstorm,Category 4
2005-12-14,12/16/2005,Snowstorm,N/A
2006-02-11,2/13/2006,Snowstorm,Category 2
2006-10-11,10/13/2006,Snowstorm,N/A
2006-11-20,11/24/2006,Snowstorm,N/A
2006-11-26,12/1/2006,Snowstorm,N/A
2006-12-20,12/31/2006,Snowstorm,N/A
2007-01-11,1/24/2007,Snowstorm,Category 2
2007-02-12,2/20/2007,Snowstorm,Category 3
2007-04-13,4/17/2007,Snowstorm,Category 1
2007-11-29,12/4/2007,Snowstorm,N/A
2007-11-29,12/5/2007,Snowstorm,N/A
2007-12-08,12/18/2007,Snowstorm,N/A
2008-01-03,1/11/2008,Snowstorm,N/A
2008-03-06,3/10/2008,Snowstorm,N/A
2008-12-11,12/12/2008,Snowstorm,N/A
2008-12-19,12/25/2008,Snowstorm,N/A
2009-01-25,1/30/2009,Snowstorm,N/A
2009-10-13,10/20/2009,Snowstorm,N/A
2009-12-16,12/20/2009,Snowstorm,Category 4
2009-12-22,12/28/2009,Snowstorm,Category 5
2010-02-05,2/6/2010,Snowstorm,Category 4
2010-02-09,2/10/2010,Snowstorm,Category 2
2010-02-25,2/27/2010,Snowstorm,Category 4
2010-03-12,3/16/2010,Snowstorm,N/A
2010-10-23,10/28/2010,Snowstorm,N/A
2010-12-05,12/29/2010,Snowstorm,Category 2
2011-01-08,1/13/2011,Snowstorm,Category 2
2011-01-25,1/27/2011,Snowstorm,Category 1
2011-01-31,2/2/2011,Snowstorm,Category 5
2011-10-28,11/1/2011,Snowstorm,Category 1
2011-11-08,11/10/2011,Snowstorm,N/A
2012-01-16,1/20/2012,Snowstorm,N/A
2012-10-29,11/2/2012,Snowstorm,N/A
2012-11-07,11/10/2012,Snowstorm,Category 1
2012-12-17,12/22/2012,Snowstorm,Category 2
2012-12-25,12/28/2012,Snowstorm,Category 1
2013-02-07,2/18/2013,Snowstorm,Category 3
