Date,Open,High,Low,Close,Adj Close,Volume
2005-06-27,14.540000,14.550000,14.500000,14.510000,12.708226,3600
2005-06-28,14.550000,14.640000,14.550000,14.620000,12.804563,11600
2005-06-29,14.580000,14.660000,14.580000,14.630000,12.813323,11800
2005-06-30,14.680000,14.680000,14.630000,14.630000,12.813323,25600
2005-07-01,14.590000,14.590000,14.530000,14.530000,12.725741,16500
2005-07-05,14.540000,14.650000,14.540000,14.650000,12.830836,11200
2005-07-06,14.520000,14.520000,14.500000,14.510000,12.708226,1100
2005-07-07,14.350000,14.490000,14.340000,14.490000,12.690708,6300
2005-07-08,14.540000,14.760000,14.540000,14.760000,12.927178,17800
2005-07-11,14.800000,14.860000,14.800000,14.850000,13.006005,500
2005-07-12,14.860000,14.860000,14.860000,14.860000,13.014761,100
2005-07-13,14.900000,14.900000,14.880000,14.890000,13.041037,56500
2005-07-14,14.950000,14.950000,14.770000,14.770000,12.935940,6400
2005-07-15,14.850000,14.850000,14.850000,14.850000,13.006005,300
2005-07-18,14.950000,14.950000,14.920000,14.920000,13.067312,300
2005-07-19,14.950000,14.990000,14.950000,14.990000,13.128619,17700
2005-07-20,14.950000,15.090000,14.950000,15.090000,13.216202,2900
2005-07-21,15.050000,15.050000,14.950000,14.950000,13.093589,7100
2005-07-22,14.970000,14.970000,14.970000,14.970000,13.111104,200
2005-07-25,14.970000,15.010000,14.950000,14.950000,13.093589,700
2005-07-26,14.940000,14.970000,14.940000,14.970000,13.111104,1700
2005-07-27,14.830000,14.830000,14.800000,14.820000,12.979730,3600
2005-07-28,14.920000,14.980000,14.900000,14.980000,13.119862,20500
2005-07-29,15.040000,15.040000,14.980000,14.980000,13.119862,4000
2005-08-01,15.030000,15.060000,15.030000,15.060000,13.189927,1200
2005-08-02,15.020000,15.060000,15.020000,15.060000,13.189927,2600
2005-08-03,15.020000,15.020000,15.020000,15.020000,13.154897,100
2005-08-04,14.820000,14.820000,14.800000,14.800000,12.962214,900
2005-08-05,14.720000,14.720000,14.610000,14.610000,12.795806,600
2005-08-08,14.650000,14.660000,14.650000,14.660000,12.839598,700
2005-08-09,14.710000,14.750000,14.700000,14.740000,12.909666,8200
2005-08-10,14.840000,14.850000,14.740000,14.740000,12.909666,8400
2005-08-11,14.740000,14.740000,14.740000,14.740000,12.909666,0
2005-08-12,14.650000,14.650000,14.640000,14.640000,12.822084,200
2005-08-15,14.600000,14.750000,14.600000,14.740000,12.909666,1700
2005-08-16,14.550000,14.550000,14.470000,14.470000,12.673191,4600
2005-08-17,14.460000,14.580000,14.450000,14.580000,12.769527,11400
2005-08-18,14.490000,14.540000,14.480000,14.530000,12.725741,3700
2005-08-19,14.500000,14.520000,14.460000,14.460000,12.664433,3900
2005-08-22,14.480000,14.530000,14.460000,14.460000,12.664433,1200
2005-08-23,14.440000,14.510000,14.420000,14.490000,12.690708,2700
2005-08-24,14.350000,14.400000,14.290000,14.290000,12.515539,1400
2005-08-25,14.290000,14.330000,14.230000,14.330000,12.550576,4700
2005-08-26,14.230000,14.240000,14.190000,14.240000,12.471753,7100
2005-08-29,14.140000,14.230000,14.140000,14.230000,12.462993,4900
2005-08-30,14.230000,14.230000,13.910000,13.980000,12.244037,5400
2005-08-31,13.960000,14.010000,13.880000,14.010000,12.270312,14500
2005-09-01,14.030000,14.030000,13.800000,13.800000,12.086390,1800
2005-09-02,13.840000,13.840000,13.740000,13.750000,12.042597,5600
2005-09-06,13.840000,13.980000,13.840000,13.970000,12.235277,4900
2005-09-07,14.150000,14.290000,14.150000,14.290000,12.515539,5000
2005-09-08,14.210000,14.210000,14.170000,14.170000,12.410446,16200
2005-09-09,14.220000,14.270000,14.220000,14.240000,12.471753,5200
2005-09-12,14.270000,14.340000,14.270000,14.340000,12.559334,2000
2005-09-13,14.180000,14.230000,14.140000,14.180000,12.419202,3500
2005-09-14,14.070000,14.080000,13.950000,13.950000,12.217760,1000
2005-09-15,13.950000,14.000000,13.950000,13.970000,12.235277,1500
2005-09-16,14.020000,14.080000,14.020000,14.080000,12.331619,2400
2005-09-19,14.000000,14.000000,13.960000,13.960000,12.226520,2000
2005-09-20,14.010000,14.030000,13.780000,13.810000,12.095147,7300
2005-09-21,13.750000,13.770000,13.480000,13.480000,11.806120,33100
2005-09-22,13.490000,13.650000,13.490000,13.650000,11.955013,1700
2005-09-23,13.650000,13.800000,13.650000,13.780000,12.068870,13300
2005-09-26,13.910000,13.990000,13.830000,13.890000,12.165211,36700
2005-09-27,13.900000,13.900000,13.780000,13.870000,12.147696,4400
2005-09-28,13.880000,13.880000,13.720000,13.720000,12.016322,6800
2005-09-29,13.680000,13.750000,13.580000,13.750000,12.042597,2900
2005-09-30,13.790000,13.870000,13.780000,13.870000,12.147696,1900
2005-10-03,13.990000,14.030000,13.980000,14.010000,12.270312,2300
2005-10-04,14.010000,14.100000,13.950000,13.950000,12.217760,5900
2005-10-05,13.950000,13.960000,13.820000,13.820000,12.103905,5000
2005-10-06,13.930000,13.940000,13.850000,13.890000,12.165211,27100
2005-10-07,13.920000,13.920000,13.900000,13.900000,12.173968,700
2005-10-10,13.900000,13.900000,13.810000,13.810000,12.095147,4300
2005-10-11,13.920000,13.920000,13.810000,13.810000,12.095147,53900
2005-10-12,13.860000,13.860000,13.580000,13.640000,11.946257,37500
2005-10-13,13.620000,13.700000,13.570000,13.700000,11.998805,15900
2005-10-14,13.810000,13.830000,13.810000,13.830000,12.112662,200
2005-10-17,13.800000,13.840000,13.740000,13.770000,12.060112,3000
2005-10-18,13.840000,13.840000,13.640000,13.640000,11.946257,3900
2005-10-19,13.600000,14.010000,13.600000,14.000000,12.261548,800
2005-10-20,14.100000,14.100000,13.890000,13.890000,12.165211,11700
2005-10-21,13.970000,14.120000,13.970000,14.080000,12.331619,17400
2005-10-24,14.220000,14.300000,14.220000,14.280000,12.506783,9400
2005-10-25,14.350000,14.360000,14.160000,14.280000,12.506783,17400
2005-10-26,14.190000,14.230000,14.090000,14.090000,12.340376,24600
2005-10-27,14.070000,14.070000,13.760000,13.780000,12.068870,2600
