Date,Open,High,Low,Close,Adj Close,Volume
2006-05-05,50.160000,50.160000,50.160000,50.160000,40.129250,100
2006-05-08,50.080002,50.090000,50.080002,50.080002,40.065250,800
2006-05-09,49.959999,49.959999,49.740002,49.799999,39.841248,2100
2006-05-10,49.709999,49.709999,49.470001,49.480000,39.585220,3300
2006-05-11,49.459999,49.459999,49.029999,49.060001,39.249229,1200
2006-05-12,48.849998,48.869999,48.669998,48.669998,38.937225,3600
2006-05-15,48.689999,49.259998,48.689999,49.049999,39.241222,2000
2006-05-16,49.480000,49.529999,49.340000,49.529999,39.625233,3200
2006-05-17,49.000000,49.310001,48.500000,48.580002,38.865208,7100
2006-05-18,48.779999,48.869999,48.540001,48.540001,38.833214,2300
2006-05-19,48.220001,48.360001,48.000000,48.000000,38.401203,600
2006-05-22,48.299999,48.299999,48.180000,48.259998,38.609203,28300
2006-05-23,48.330002,48.330002,47.950001,47.950001,38.361195,4200
2006-05-24,48.070000,48.070000,47.500000,47.910000,38.329185,3600
2006-05-25,48.139999,48.480000,48.139999,48.480000,38.785213,2700
2006-05-26,48.860001,48.910000,48.790001,48.830002,39.065228,2500
2006-05-30,48.580002,48.580002,48.340000,48.340000,38.673206,1000
2006-05-31,48.250000,48.330002,48.119999,48.330002,38.665218,2000
2006-06-01,48.380001,48.889999,48.380001,48.770000,39.017212,2200
2006-06-02,49.000000,49.070000,48.799999,49.070000,39.257217,2500
2006-06-05,48.939999,48.939999,48.389999,48.389999,38.713207,1600
2006-06-06,48.400002,48.400002,47.869999,48.099998,38.481186,4200
2006-06-07,48.470001,48.730000,48.369999,48.369999,38.697208,800
2006-06-08,48.270000,48.410000,47.750000,48.410000,38.729198,19700
2006-06-09,48.439999,48.470001,48.139999,48.139999,38.513203,8000
2006-06-12,48.090000,48.090000,47.369999,47.369999,37.897186,2500
2006-06-13,47.669998,47.669998,47.029999,47.029999,37.625183,2200
2006-06-14,46.849998,47.299999,46.849998,47.130001,37.705177,2300
2006-06-15,47.709999,48.220001,47.669998,48.220001,38.577209,3000
2006-06-16,48.220001,48.220001,47.860001,47.860001,38.289200,2500
2006-06-19,48.020000,48.020000,47.619999,47.619999,38.097187,2400
2006-06-20,47.700001,47.740002,47.700001,47.740002,38.193192,1700
2006-06-21,47.740002,48.020000,47.700001,47.730000,38.185181,4100
2006-06-22,47.529999,47.630001,47.259998,47.459999,38.056900,6700
2006-06-23,47.500000,47.779999,47.500000,47.779999,38.313492,400
2006-06-26,47.770000,47.770000,47.599998,47.610001,38.177189,1400
2006-06-27,47.520000,47.580002,46.950001,47.080002,37.752174,5400
2006-06-28,47.220001,47.220001,46.900002,47.099998,37.768219,5200
2006-06-29,47.680000,48.209999,47.610001,48.209999,38.658291,3700
2006-06-30,48.560001,48.639999,48.540001,48.540001,38.922928,2500
2006-07-03,48.650002,48.720001,48.560001,48.700001,39.051220,8100
2006-07-05,48.549999,48.549999,48.360001,48.419998,38.826687,2800
2006-07-06,48.630001,48.669998,48.450001,48.570000,38.946972,27800
2006-07-07,48.610001,48.709999,48.580002,48.599998,38.971016,14000
2006-07-10,48.500000,48.500000,48.000000,48.090000,38.562065,3700
2006-07-11,48.090000,48.290001,47.720001,48.290001,38.722431,12900
2006-07-12,48.070000,48.070000,47.799999,47.869999,38.385654,35300
2006-07-13,47.230000,47.310001,47.000000,47.130001,37.792274,17700
2006-07-14,47.250000,47.439999,46.849998,46.900002,37.607861,6600
2006-07-17,47.040001,47.049999,46.869999,47.049999,37.728111,2300
2006-07-18,46.820000,47.040001,46.799999,47.040001,37.720108,3000
2006-07-19,48.029999,48.410000,47.950001,48.250000,38.690384,122500
2006-07-20,47.889999,48.060001,47.700001,47.700001,38.249348,15200
2006-07-21,47.500000,47.619999,47.360001,47.610001,38.177189,9400
2006-07-24,48.099998,48.959999,48.099998,48.830002,39.155468,48100
2006-07-25,48.919998,49.410000,48.880001,49.230000,39.476204,15500
2006-07-26,49.240002,49.799999,49.240002,49.700001,39.853096,26100
2006-07-27,49.799999,49.810001,49.340000,49.439999,39.644600,14500
2006-07-28,49.610001,50.200001,49.610001,50.080002,40.157791,11500
2006-07-31,49.980000,50.009998,49.689999,49.910000,40.021473,10000
2006-08-01,49.790001,49.959999,49.730000,49.919998,40.029495,34100
2006-08-02,50.209999,50.250000,50.029999,50.180000,40.237991,10000
2006-08-03,50.070000,50.529999,50.009998,50.430000,40.438457,7700
2006-08-04,50.650002,50.650002,50.180000,50.290001,40.326221,5500
2006-08-07,50.189999,50.189999,49.580002,49.599998,39.772900,9000
2006-08-08,49.599998,49.889999,49.459999,49.459999,39.660645,9700
2006-08-09,49.880001,50.049999,49.439999,49.439999,39.644600,6100
2006-08-10,49.040001,49.560001,49.040001,49.560001,39.740833,9100
2006-08-11,49.270000,49.360001,48.900002,48.980000,39.275734,8400
2006-08-14,49.509998,49.730000,49.200001,49.279999,39.516308,8200
2006-08-15,49.740002,50.000000,49.709999,49.959999,40.061577,14600
2006-08-16,50.009998,50.500000,50.009998,50.450001,40.454483,10900
2006-08-17,50.410000,50.770000,50.410000,50.610001,40.582783,42600
2006-08-18,50.459999,50.590000,50.139999,50.580002,40.558743,5900
2006-08-21,50.369999,50.389999,50.139999,50.240002,40.286098,4000
2006-08-22,50.320000,50.540001,50.240002,50.490002,40.486572,8700
2006-08-23,50.470001,50.470001,50.279999,50.439999,40.446468,12900
2006-08-24,50.599998,50.709999,50.389999,50.500000,40.494579,17400
2006-08-25,50.450001,50.730000,50.450001,50.669998,40.630901,16900
2006-08-28,50.740002,51.200001,50.740002,51.060001,40.943638,7000
2006-08-29,51.119999,51.410000,50.950001,51.380001,41.200245,22900
2006-08-30,51.470001,51.619999,51.340000,51.459999,41.264374,117500
2006-08-31,51.400002,51.480000,51.279999,51.349998,41.176174,8600
2006-09-01,51.450001,51.709999,51.450001,51.669998,41.432770,13700
2006-09-05,51.320000,51.330002,51.080002,51.310001,41.144115,33700
2006-09-06,51.259998,51.259998,50.580002,50.650002,40.614880,20400
2006-09-07,50.500000,50.619999,50.110001,50.259998,40.302120,10900
2006-09-08,50.369999,50.799999,50.299999,50.770000,40.711094,5400
2006-09-11,50.490002,50.959999,50.490002,50.889999,40.807320,4000
2006-09-12,51.209999,51.770000,51.000000,51.689999,41.448811,44000
2006-09-13,51.599998,51.750000,51.529999,51.630001,41.400700,12800
2006-09-14,51.599998,51.650002,51.389999,51.639999,41.408707,27700
2006-09-15,51.849998,51.900002,51.680000,51.730000,41.480919,10200
2006-09-18,51.799999,51.810001,51.509998,51.610001,41.384655,13800
2006-09-19,51.750000,51.750000,51.200001,51.560001,41.344578,5000
2006-09-20,51.880001,52.099998,51.880001,51.980000,41.681358,14100
2006-09-21,52.040001,52.040001,51.540001,51.689999,41.448811,40400
2006-09-22,51.610001,51.610001,51.160000,51.380001,41.200245,6600
2006-09-25,51.570000,51.970001,51.349998,51.900002,41.617199,8900
2006-09-26,51.790001,51.810001,51.570000,51.810001,41.621223,7400
2006-09-27,51.650002,52.049999,51.650002,51.959999,41.741730,8600
2006-09-28,51.970001,52.099998,51.830002,52.099998,41.854191,2300
2006-09-29,52.169998,52.439999,52.169998,52.349998,42.055023,22500
2006-10-02,52.450001,52.450001,51.980000,51.980000,41.757793,6800
2006-10-03,51.860001,52.299999,51.799999,52.139999,41.886318,7200
2006-10-04,52.200001,52.529999,52.000000,52.529999,42.199623,7200
2006-10-05,52.669998,52.669998,52.299999,52.599998,42.255859,5100
2006-10-06,52.599998,52.849998,52.509998,52.750000,42.376369,12800
2006-10-09,52.770000,52.950001,52.650002,52.950001,42.537048,7600
2006-10-10,52.950001,52.950001,52.400002,52.700001,42.336208,9200
2006-10-11,52.720001,52.720001,52.250000,52.599998,42.255859,7000
2006-10-12,52.810001,53.119999,52.790001,53.119999,42.673592,7000
2006-10-13,53.240002,53.369999,53.070000,53.270000,42.794102,7800
2006-10-16,53.419998,53.630001,53.419998,53.630001,43.083305,5300
2006-10-17,53.619999,53.910000,53.500000,53.750000,43.179710,6200
2006-10-18,54.099998,54.099998,53.750000,54.009998,43.388584,19500
2006-10-19,54.049999,54.090000,53.840000,54.000000,43.380543,33000
