Year,Date,Start Date,End Date,Total Days,Maximum accumulation,Lowest pressure,Type,Category
2000,January 18–30,1/18/2000,1/30/2000,12,30 inches (76 cm),N/A,Blizzard,Category 3
2000,December 27–31,12/27/2000,12/31/2000,4,30 inches (76 cm),N/A,Storm,Category 2
2002,January 29–31,12/29/2000,12/31/2000,2,3 inches (7.6 cm),N/A,Ice storm,Category 2
2002,7-Feb,2/7/2002,2/7/2002,0,N/A,994 hPa (29.4 inHg),Storm,N/A
2002,December 4–5,12/4/2002,12/5/2002,1,N/A,N/A,Ice storm,N/A
2003,February 14–19,2/14/2003,2/19/2003,5,44 inches (110 cm),999 hPa (29.5 inHg),Blizzard,Category 4
2003,December 5–8,12/5/2003,12/8/2003,3,35.6 inches (90 cm),992 hPa (29.3 inHg),Blizzard,Category 3
2004,December 21–24,12/21/2004,12/24/2004,3,39 inches (99 cm),984 hPa (29.1 inHg),Storm,Category 4
2004,December 24–28,12/24/2004,12/28/2004,4,18 inches (46 cm),964 hPa (28.5 inHg),Storm,N/A
2005,January 20–23,1/20/2005,1/23/2005,3,40.5 inches (103 cm),N/A,Blizzard,Category 4
2005,December 14–16,12/14/2005,12/16/2005,2,0.75 inches (1.9 cm),N/A,Ice storm,N/A
2006,February 11–13,2/11/2006,2/13/2006,2,30.2 inches (77 cm),971 hPa (28.7 inHg),Blizzard,Category 2
2006,October 11–13,10/11/2006,10/13/2006,2,24 inches (61 cm),980 hPa (29 inHg),Storm,N/A
2006,November 20–24,11/20/2006,11/24/2006,4,5 inches (13 cm),944 hPa (27.9 inHg),Storm,N/A
2006,November 26 – December 1,11/26/2006,12/1/2006,5,N/A,N/A,Storm,N/A
2006,December 20–31,12/20/2006,12/31/2006,11,32 inches (81 cm),N/A,Blizzard,N/A
2007,January 11–24,1/11/2007,1/24/2007,13,4 inches (10 cm),961 hPa (28.4 inHg),Ice storm,Category 2
2007,February 12–20,2/12/2007,2/20/2007,8,48 inches (120 cm),970 hPa (29 inHg),Blizzard,Category 3
2007,April 13–17,4/13/2007,4/17/2007,4,23 inches (58 cm),969 hPa (28.6 inHg),Storm,Category 1
2007,November 29 – December 4,11/29/2007,12/4/2007,5,14 inches (36 cm),952 hPa (28.1 inHg),Storm,N/A
2007,November 29 – December 5,11/29/2007,12/5/2007,6,44 inches (110 cm),976 hPa (28.8 inHg),Storm,N/A
2007,December 8–18,12/8/2007,12/18/2007,10,24 inches (61 cm),974 hPa (28.8 inHg),Various,N/A
2008,January 3–11,1/3/2008,1/11/2008,8,N/A,956 hPa (28.2 inHg),Blizzard,N/A
2008,March 6–10,3/6/2008,3/10/2008,4,28.5 inches (72 cm),984 hPa (29.1 inHg),Blizzard,N/A
2008,December 11–12,12/11/2008,12/12/2008,1,N/A,N/A,Ice storm,N/A
2008,December 19–25,12/19/2008,12/25/2008,6,N/A,N/A,Storm,N/A
2009,January 25–30,1/25/2009,1/30/2009,5,2.5 inches (6.4 cm),999 hPa (29.5 inHg),Ice storm,N/A
2009,October 13–20,10/13/2009,10/20/2009,7,23 inches (58 cm),966 hPa (28.5 inHg),Blizzard,N/A
2009,December 16–20,12/16/2009,12/20/2009,4,26.3 inches (67 cm),968 hPa (28.6 inHg),Blizzard,Category 4
2009,December 22–28,12/22/2009,12/28/2009,6,40 inches (100 cm),985 hPa (29.1 inHg),Blizzard,Category 5
2010,February 5–6,2/5/2010,2/6/2010,1,38.3 inches (97 cm),978 hPa (28.9 inHg),Blizzard,Category 4
2010,February 9–10,2/9/2010,2/10/2010,1,27.5 inches (70 cm),969 hPa (28.6 inHg),Blizzard,Category 2
2010,February 25–27,2/25/2010,2/27/2010,2,53 inches (130 cm),972 hPa (28.7 inHg),Blizzard,Category 4
2010,March 12–16,3/12/2010,3/16/2010,4,N/A,993 hPa (29.3 inHg),Storm,N/A
2010,October 23–28,10/23/2010,10/28/2010,5,9 inches (23 cm),955.2 hPa (28.21 inHg),Blizzard,N/A
2010,December 5–29,12/5/2010,12/29/2010,24,36 inches (91 cm),960 hPa (28 inHg),Blizzard,Category 2
2011,January 8–13,1/8/2011,1/13/2011,5,40.5 inches (103 cm),N/A,Blizzard,Category 2
2011,January 25–27,1/25/2011,1/27/2011,2,N/A,N/A,Blizzard,Category 1
2011,January 31 – February 2,1/31/2011,2/2/2011,2,27 inches (69 cm),996 hPa (29.4 inHg),Blizzard,Category 5
2011,October 28 – November 1,10/28/2011,11/1/2011,4,32 inches (81 cm),971 hPa (28.7 inHg),Blizzard,Category 1
2011,November 8–10,11/8/2011,11/10/2011,2,6.4 inches (16 cm),943 hPa (27.8 inHg),Blizzard,N/A
2012,January 16–20,1/16/2012,1/20/2012,4,50 inches (130 cm),992 hPa (29.3 inHg),Blizzard,N/A
2012,October 29 – November 2,10/29/2012,11/2/2012,4,36 inches (91 cm),940 hPa (28 inHg),Storm,N/A
2012,November 7–10,11/7/2012,11/10/2012,3,13.5 inches (34 cm),984 hPa (29.1 inHg),Storm,Category 1
2012,December 17–22,12/17/2012,12/22/2012,5,15.2 inches (39 cm),971 hPa (28.7 inHg),Blizzard,Category 2
2012,December 25–28,12/25/2012,12/28/2012,3,27 inches (69 cm),968 hPa (28.6 inHg),Blizzard,Category 1
2013,February 7–18,2/7/2013,2/18/2013,11,40 inches (100 cm),968 hPa (28.6 inHg),Blizzard,Category 3
2013,March 1–10,3/1/2013,3/10/2013,9,36 inches (91 cm),986 hPa (29.1 inHg),Blizzard,Category 2
2013,October 3–5,10/3/2013,10/5/2013,2,58 inches (150 cm),999 hPa (29.5 inHg),Blizzard,Category 3
2013,December 19–23,12/19/2013,12/23/2013,4,14 inches (36 cm),997 hPa (29.4 inHg),Storm,N/A
2014,December 30 – January 6,12/30/2013,1/6/2013,-358,23.8 inches (60 cm),936 hPa (27.6 inHg),Storm,Category 2
2014,January 19–24,1/19/2014,1/24/2014,5,18.3 inches (46 cm),962 hPa (28.4 inHg),Blizzard,Category 1
2014,January 27–31,1/27/2014,1/31/2014,4,10 inches (25 cm),999 hPa (29.5 inHg),Blizzard,Category 1
2014,February 11–24,2/11/2014,2/24/2014,13,27.5 inches (70 cm),968 hPa (28.6 inHg),Blizzard,Category 4
2014,November 7–13,11/7/2014,11/13/2014,6,N/A,N/A,Blizzard,N/A
2014,November 13–21,11/13/2014,11/21/2014,8,88 inches (220 cm),961 hPa (28.4 inHg),Storm,N/A
2015,January 23–30,1/23/2015,1/30/2015,7,36 inches (91 cm),970 hPa (29 inHg),Blizzard,Category 3
2015,January 31 – February 2,1/31/2015,2/2/2015,2,24.1 inches (61 cm),978 hPa (28.9 inHg),Blizzard,Category 3
2015,February 12–17,2/12/2015,2/17/2015,5,27.4 inches (70 cm),958 hPa (28.3 inHg),Blizzard,Category 1
2015,March 1–6,3/1/2015,3/6/2015,5,54.6 inches (139 cm),993 hPa (29.3 inHg),Blizzard,N/A
2015,November 24–27,11/24/2015,11/27/2015,3,1.5 inches (3.8 cm),994 hPa (29.4 inHg),Ice storm,N/A
2015,December 26–30,12/26/2015,12/30/2015,4,41 inches (100 cm),989 hPa (29.2 inHg),Blizzard,N/A
2016,January 21–24,1/21/2016,1/24/2016,3,42 inches (110 cm),983 hPa (29.0 inHg),Blizzard,Category 5
2016,January 29 – February 7,1/29/2016,2/7/2016,9,41 inches (100 cm),N/A,Blizzard,Category 2
2016,February 7–10,2/7/2016,2/10/2016,3,11 inches (28 cm),976 hPa (28.8 inHg),Blizzard,N/A
2016,February 23–24,2/23/2016,2/24/2016,1,17 inches (43 cm),N/A,Storm,N/A
2016,March 21–25,3/21/2016,3/25/2016,4,32.5 inches (83 cm),989 hPa (29.2 inHg),Blizzard,N/A
2016,April 15–23,4/15/2016,4/23/2016,8,51.3 inches (130 cm),999 hPa (29.5 inHg),Blizzard,N/A
